date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:38:29	159540/159540	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Apr%202026%2011:04:42%20GMT	https://www.davidwalter.cz/	C:/My%20Web%20Sites/sda/www.davidwalter.cz/index.html	(from )
14:38:30	125/125	---M-Z	200	added ('OK')	text/plain	date:Fri,%2010%20Apr%202026%2012:38:30%20GMT	https://www.davidwalter.cz/robots.txt		(from )
14:38:31	181432/181432	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2024%20Jan%202025%2012:50:52%20GMT	https://www.davidwalter.cz/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot?5.6.2	C:/My%20Web%20Sites/sda/www.davidwalter.cz/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons2cbf.eot	(from https://www.davidwalter.cz/)
14:38:31	882931/882931	---M-Z	200	added ('OK')	text/css	date:Wed,%2018%20Mar%202026%2016:15:35%20GMT	https://www.davidwalter.cz/wp-content/cache/min/1/2717cceb008fc375ae615308c058cf33.css	C:/My%20Web%20Sites/sda/www.davidwalter.cz/wp-content/cache/min/1/2717cceb008fc375ae615308c058cf33.css	(from https://www.davidwalter.cz/)
14:38:31	96367/96367	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20Jan%202025%2013:22:51%20GMT	https://www.davidwalter.cz/wp-content/uploads/2022/09/FB-vas-web-je-vizitka-.jpg	C:/My%20Web%20Sites/sda/www.davidwalter.cz/wp-content/uploads/2022/09/FB-vas-web-je-vizitka-.jpg	(from https://www.davidwalter.cz/)
14:38:32	662/662	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Jan%202025%2013:13:37%20GMT	https://www.davidwalter.cz/wp-content/plugins/wp-rocket/assets/img/youtube.png	C:/My%20Web%20Sites/sda/www.davidwalter.cz/wp-content/plugins/wp-rocket/assets/img/youtube.png	(from https://www.davidwalter.cz/)
14:38:32	799/799	---M-Z	200	added ('OK')	application/rss+xml	date:Sat,%2028%20Feb%202026%2002:44:01%20GMT	https://www.davidwalter.cz/comments/feed/	C:/My%20Web%20Sites/sda/www.davidwalter.cz/comments/feed/index.html	(from https://www.davidwalter.cz/)
14:38:33	58610/58610	---M-Z	200	added ('OK')	application/rss+xml	date:Sat,%2028%20Feb%202026%2002:44:01%20GMT	https://www.davidwalter.cz/feed/	C:/My%20Web%20Sites/sda/www.davidwalter.cz/feed/index.html	(from https://www.davidwalter.cz/)
14:38:33	238031/238031	---M-Z	200	added ('OK')	application/json	date:Fri,%2010%20Apr%202026%2012:38:33%20GMT	https://www.davidwalter.cz/wp-json/	C:/My%20Web%20Sites/sda/www.davidwalter.cz/wp-json/index.html	(from https://www.davidwalter.cz/)
14:38:34	72803/72803	---M-Z	200	added ('OK')	application/json	date:Fri,%2010%20Apr%202026%2012:38:33%20GMT	https://www.davidwalter.cz/wp-json/wp/v2/pages/2664	C:/My%20Web%20Sites/sda/www.davidwalter.cz/wp-json/wp/v2/pages/2664.json	(from https://www.davidwalter.cz/)
14:38:35	822/822	---M-Z	200	added ('OK')	text/xml	date:Fri,%2010%20Apr%202026%2012:38:35%20GMT	https://www.davidwalter.cz/xmlrpc.php?rsd	C:/My%20Web%20Sites/sda/www.davidwalter.cz/xmlrpc0db0.php	(from https://www.davidwalter.cz/)
14:38:36	2177/2177	---M-Z	200	added ('OK')	application/json	date:Fri,%2010%20Apr%202026%2012:38:36%20GMT	https://www.davidwalter.cz/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.davidwalter.cz%2F	C:/My%20Web%20Sites/sda/www.davidwalter.cz/wp-json/oembed/1.0/embed6750.json	(from https://www.davidwalter.cz/)
14:38:36	2342/2342	---M-Z	200	added ('OK')	text/xml	date:Fri,%2010%20Apr%202026%2012:38:37%20GMT	https://www.davidwalter.cz/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.davidwalter.cz%2F&format=xml	C:/My%20Web%20Sites/sda/www.davidwalter.cz/wp-json/oembed/1.0/embed3648	(from https://www.davidwalter.cz/)
14:38:37	1869/1869	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2024%20Jan%202025%2013:22:20%20GMT	https://www.davidwalter.cz/wp-content/uploads/2021/08/DW-%c4%8dern%c3%a9.svg	C:/My%20Web%20Sites/sda/www.davidwalter.cz/wp-content/uploads/2021/08/DW-%c4%8dern%c3%a9.svg	(from https://www.davidwalter.cz/)
14:38:37	7011/7011	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Jan%202025%2013:49:59%20GMT	https://www.davidwalter.cz/wp-content/uploads/elementor/thumbs/Logo-David-Walter-tv%c5%afrce-webov%c3%bdch-str%c3%a1nek-r0hb0uf6fv4vlig12l52kez4pgrvkoigv33pbxhm20.png	C:/My%20Web%20Sites/sda/www.davidwalter.cz/wp-content/uploads/elementor/thumbs/Logo-David-Walter-tv%c5%afrce-webov%c3%bdch-str%c3%a1nek-r0hb0uf6fv4vlig12l52kez4pgrvkoigv33pbxhm20.png	(from https://www.davidwalter.cz/)
14:38:38	125341/125341	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Jan%202025%2013:22:28%20GMT	https://www.davidwalter.cz/wp-content/uploads/2021/08/usm%c4%9bvav%c3%bd.png	C:/My%20Web%20Sites/sda/www.davidwalter.cz/wp-content/uploads/2021/08/usm%c4%9bvav%c3%bd.png	(from https://www.davidwalter.cz/)
14:38:38	123431/123431	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Apr%202026%2003:36:51%20GMT	https://www.davidwalter.cz/kontakt/	C:/My%20Web%20Sites/sda/www.davidwalter.cz/kontakt/index.html	(from https://www.davidwalter.cz/)
14:38:38	227439/227439	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Jan%202025%2013:23:18%20GMT	https://www.davidwalter.cz/wp-content/uploads/2024/10/David-Walter-Na-volne-noze-BW.png	C:/My%20Web%20Sites/sda/www.davidwalter.cz/wp-content/uploads/2024/10/David-Walter-Na-volne-noze-BW.png	(from https://www.davidwalter.cz/)
14:38:38	59289/59289	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20Jan%202025%2013:22:12%20GMT	https://www.davidwalter.cz/wp-content/uploads/2021/07/studio-naomi-reference.jpg	C:/My%20Web%20Sites/sda/www.davidwalter.cz/wp-content/uploads/2021/07/studio-naomi-reference.jpg	(from https://www.davidwalter.cz/)
14:38:39	70715/70715	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20Jan%202025%2013:23:00%20GMT	https://www.davidwalter.cz/wp-content/uploads/2023/07/iron-analytics.jpg	C:/My%20Web%20Sites/sda/www.davidwalter.cz/wp-content/uploads/2023/07/iron-analytics.jpg	(from https://www.davidwalter.cz/)
14:38:39	57477/57477	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20Jan%202025%2013:22:49%20GMT	https://www.davidwalter.cz/wp-content/uploads/2022/06/pavli-vera-photography.jpg	C:/My%20Web%20Sites/sda/www.davidwalter.cz/wp-content/uploads/2022/06/pavli-vera-photography.jpg	(from https://www.davidwalter.cz/)
14:38:39	84593/84593	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20Jan%202025%2013:23:09%20GMT	https://www.davidwalter.cz/wp-content/uploads/2024/08/kominictvi-matousek.jpg	C:/My%20Web%20Sites/sda/www.davidwalter.cz/wp-content/uploads/2024/08/kominictvi-matousek.jpg	(from https://www.davidwalter.cz/)
